Date,Open,High,Low,Close,Adj Close,Volume
2021-10-08,356.000000,360.369995,354.209991,354.959991,352.320557,2336700
2021-10-11,353.950012,354.880005,346.899994,347.149994,344.568665,2769800
2021-10-12,348.649994,350.000000,344.619995,345.339996,342.772125,3042900
2021-10-13,346.250000,349.500000,336.980011,342.350006,339.804382,3755700
2021-10-14,343.839996,345.809998,340.829987,344.579987,342.017731,4083800
2021-10-15,349.000000,356.609985,347.739990,356.000000,353.352844,4053600
2021-10-18,353.959991,359.940002,350.230011,358.440002,355.774719,3280900
2021-10-19,358.399994,362.290009,357.609985,362.100006,359.407471,2835400
2021-10-20,361.700012,362.489990,356.000000,356.769989,354.117096,2796200
2021-10-21,354.600006,356.380005,347.269989,356.209991,353.561310,2516300
2021-10-22,356.679993,361.640015,354.899994,358.670013,356.002991,2774400
2021-10-25,362.459991,364.299988,358.790009,360.859985,358.176697,2447900
2021-10-26,363.380005,367.350006,356.809998,357.320007,354.663055,3320100
2021-10-27,348.000000,351.119995,333.799988,335.720001,333.223633,9652700
2021-10-28,344.170013,350.489990,328.869995,333.029999,330.553650,9505100
2021-10-29,331.239990,338.149994,331.109985,335.519989,333.025116,5843700
2021-11-01,335.250000,340.899994,332.880005,334.049988,331.566071,5126200
2021-11-02,335.130005,335.769989,326.700012,328.480011,326.037506,5375300
2021-11-03,328.500000,329.579987,323.339996,329.429993,326.980438,3952500
2021-11-04,331.070007,338.630005,329.329987,335.429993,332.935852,4819500
2021-11-05,342.440002,350.160004,341.000000,348.790009,346.196503,7201500
2021-11-08,348.010010,353.149994,347.660004,349.670013,347.069946,3862200
2021-11-09,350.000000,350.200012,339.649994,344.649994,342.087219,4247800
2021-11-10,350.100006,359.619995,349.500000,357.940002,355.278442,6337100
2021-11-11,358.380005,359.640015,352.570007,354.339996,351.705170,4472200
2021-11-12,356.059998,363.839996,355.929993,363.500000,360.797089,4724200
2021-11-15,365.140015,371.130005,360.660004,361.359985,358.672974,4693200
2021-11-16,364.769989,371.070007,362.000000,369.559998,366.812012,4969000
2021-11-17,359.579987,368.000000,351.220001,359.170013,356.499329,11727300
2021-11-18,360.730011,362.480011,344.579987,348.220001,345.630737,6533700
2021-11-19,346.000000,346.649994,339.130005,339.720001,337.193909,6954800
2021-11-22,339.799988,341.480011,319.760010,321.299988,318.910858,11378200
2021-11-23,324.959991,329.690002,321.690002,329.000000,326.553619,7116200
